pv_kwp,battery_kwh,self_sufficiency_pct,grid_import_kwh,total_system_cost_units
0.94,3.0,36.42,1481.7,21.4
1.44,6.0,52.51,1106.8,38.4
1.94,10.0,63.92,840.8,59.4
2.44,10.0,70.21,694.4,64.4
2.94,10.0,75.4,573.3,69.4
3.44,12.5,80.37,457.4,84.4
3.94,10.0,82.15,416.1,79.4
4.44,7.5,82.08,417.5,74.4
4.94,7.5,83.8,377.5,79.4
5.44,5.0,80.25,460.3,74.4
5.94,5.0,81.39,433.6,79.4
6.44,5.0,82.43,409.6,84.4
6.94,5.0,83.33,388.5,89.4
7.44,5.0,84.15,369.5,94.4
7.94,5.0,84.86,352.9,99.4
8.44,5.0,85.49,338.1,104.39999999999999
8.94,5.0,86.1,324.0,109.39999999999999
9.44,5.0,86.66,310.9,114.39999999999999
9.94,5.0,87.19,298.5,119.39999999999999
10.0,5.0,87.26,297.0,120.0
